Date,ANZ
1/8/2021 16:00,23.65
1/11/2021 16:00,23.66
1/12/2021 16:00,23.86
1/13/2021 16:00:00,23.97
1/14/2021 16:00:00,24.41
1/15/2021 16:00:00,24.46
1/18/2021 16:00:00,24.09
1/19/2021 16:00:00,24.48
1/20/2021 16:00:00,24.27
1/21/2021 16:00:00,24.54
1/22/2021 16:00:00,24.45
1/25/2021 16:00:00,24.48
1/27/2021 16:00:00,24.36
1/28/2021 16:00:00,24.03
1/29/2021 16:00:00,23.52
2/1/2021 16:00,23.87
2/2/2021 16:00,24.16
2/3/2021 16:00,24.6
2/4/2021 16:00,24.58
2/5/2021 16:00,25.09
2/8/2021 16:00,25.2
2/9/2021 16:00,24.73
2/10/2021 16:00,24.64
2/11/2021 16:00,24.69
2/12/2021 16:00,24.62
2/15/2021 16:00:00,25.1
2/16/2021 16:00:00,25.27
2/17/2021 16:00:00,25.62
2/18/2021 16:00:00,26.34
2/19/2021 16:00:00,26.4
2/22/2021 16:00:00,26.29
2/23/2021 16:00:00,26.6
2/24/2021 16:00:00,26.42
2/25/2021 16:00:00,26.56
2/26/2021 16:00:00,25.96
3/1/2021 16:00,26.38
3/2/2021 16:00,26.68
3/3/2021 16:00,27.34
3/4/2021 16:00,28.17
3/5/2021 16:00,28.61
3/8/2021 16:00,28.49
3/9/2021 16:00,28.87
3/10/2021 16:00,28.28
3/11/2021 16:00,28
3/12/2021 16:00,28.02
3/15/2021 16:00:00,28.18
3/16/2021 16:00:00,28.33
3/17/2021 16:00:00,28.15
3/18/2021 16:00:00,27.92
3/19/2021 16:00:00,28.01
3/22/2021 16:00:00,28.15
3/23/2021 16:00:00,27.78
3/24/2021 16:00:00,27.78
3/25/2021 16:00:00,27.68
3/26/2021 16:00:00,27.95
3/29/2021 16:00:00,27.77
3/30/2021 16:00:00,27.88
3/31/2021 16:00:00,27.96
4/1/2021 16:00,28.02
4/6/2021 16:00,28.13
4/7/2021 16:00,28.21
4/8/2021 16:00,28.51
4/9/2021 16:00,28.51
4/12/2021 16:00,28.64
4/13/2021 16:00:00,28.67
4/14/2021 16:00:00,28.66
4/15/2021 16:00:00,28.69
4/16/2021 16:00:00,28.59
4/19/2021 16:00:00,28.7
4/20/2021 16:00:00,28.43
4/21/2021 16:00:00,28.2
4/22/2021 16:00:00,28.35
4/23/2021 16:00:00,28.47
4/26/2021 16:00:00,28.46
4/27/2021 16:00:00,28.72
4/28/2021 16:00:00,28.87
4/29/2021 16:00:00,28.71
4/30/2021 16:00:00,28.51
5/3/2021 16:00,28.87
5/4/2021 16:00,28.6
5/5/2021 16:00,27.68
5/6/2021 16:00,27.43
5/7/2021 16:00,27.53
5/10/2021 16:00,27.16
5/11/2021 16:00,26.86
5/12/2021 16:00,26.71
5/13/2021 16:00:00,26.94
5/14/2021 16:00:00,27.2
5/17/2021 16:00:00,27.09
5/18/2021 16:00:00,27.48
5/19/2021 16:00:00,27.09
5/20/2021 16:00:00,27.64
5/21/2021 16:00:00,27.78
5/24/2021 16:00:00,27.94
5/25/2021 16:00:00,28.22
5/26/2021 16:00:00,28.27
5/27/2021 16:00:00,28.31
5/28/2021 16:00:00,28.63
5/31/2021 16:00:00,28.48
6/1/2021 16:00,28.09
6/2/2021 16:00,28.13
6/3/2021 16:00,28.54
6/4/2021 16:00,28.97
6/7/2021 16:00,28.59
6/8/2021 16:00,28.53
6/9/2021 16:00,28.5
6/10/2021 16:00,28.46
6/11/2021 16:00,28.03
6/15/2021 16:00:00,28.43
6/16/2021 16:00:00,28.69
6/17/2021 16:00:00,29
6/18/2021 16:00:00,28.75
6/21/2021 16:00:00,27.86
6/22/2021 16:00:00,28.45
6/23/2021 16:00:00,28.05
6/24/2021 16:00:00,27.82
6/25/2021 16:00:00,28.06
6/28/2021 16:00:00,27.97
6/29/2021 16:00:00,28.02
6/30/2021 16:00:00,27.93
7/1/2021 16:00,27.81
7/2/2021 16:00,28.1
7/5/2021 16:00,27.87
7/6/2021 16:00,27.8
7/7/2021 16:00,27.92
7/8/2021 16:00,27.72
7/9/2021 16:00,27.63
7/12/2021 16:00,27.75
7/13/2021 16:00:00,27.6
7/14/2021 16:00:00,27.43
7/15/2021 16:00:00,27.27
7/16/2021 16:00:00,27.21
7/19/2021 16:00:00,26.94
7/20/2021 16:00:00,27.1
7/21/2021 16:00:00,27.43
7/22/2021 16:00:00,27.78
7/23/2021 16:00:00,27.47
7/26/2021 16:00:00,27.45
7/27/2021 16:00:00,27.69
7/28/2021 16:00:00,27.52
7/29/2021 16:00:00,27.53
7/30/2021 16:00:00,27.49
8/2/2021 16:00,27.99
8/3/2021 16:00,27.79
8/4/2021 16:00,27.85
8/5/2021 16:00,28.01
8/6/2021 16:00,28.27
8/9/2021 16:00,28.66
8/10/2021 16:00,28.65
8/11/2021 16:00,29
8/12/2021 16:00,29.12
8/13/2021 16:00:00,29.3
8/16/2021 16:00:00,28.5
8/17/2021 16:00:00,28.2
8/18/2021 16:00:00,28.24
8/19/2021 16:00:00,28.14
8/20/2021 16:00:00,28.09
8/23/2021 16:00:00,28.1
8/24/2021 16:00:00,28.17
8/25/2021 16:00:00,28.24
8/26/2021 16:00:00,28.22
8/27/2021 16:00:00,28.1
8/30/2021 16:00:00,27.78
8/31/2021 16:00:00,27.63
9/1/2021 16:00,27.76
9/2/2021 16:00,27.69
9/3/2021 16:00,27.65
9/6/2021 16:00,27.89
9/7/2021 16:00,27.86
9/8/2021 16:00,27.8
9/9/2021 16:00,27.29
9/10/2021 16:00,27.37
9/13/2021 16:00:00,27.4
9/14/2021 16:00:00,27.49
9/15/2021 16:00:00,27.39
9/16/2021 16:00:00,27.65
9/17/2021 16:00:00,27.48
9/20/2021 16:00:00,26.93
9/21/2021 16:00:00,26.94
9/22/2021 16:00:00,26.88
9/23/2021 16:00:00,27.16
9/24/2021 16:00:00,27.19
9/27/2021 16:00:00,27.55
9/28/2021 16:00:00,27.4
9/29/2021 16:00:00,27.27
9/30/2021 16:00:00,27.93
10/1/2021 16:00,27.22
10/4/2021 16:00,27.81
10/5/2021 16:00,27.61
10/6/2021 16:00,27.31
10/7/2021 16:00,27.59
10/8/2021 16:00,27.74
10/11/2021 16:00,27.87
10/12/2021 16:00,27.67
10/13/2021 16:00:00,27.56
10/14/2021 16:00:00,27.36
10/15/2021 16:00:00,27.65
10/18/2021 16:00:00,28.02
10/19/2021 16:00:00,27.93
10/20/2021 16:00:00,28.17
10/21/2021 16:00:00,28.02
10/22/2021 16:00:00,27.99
10/25/2021 16:00:00,28.1
10/26/2021 16:00:00,28.19
10/27/2021 16:00:00,28.17
10/28/2021 16:00:00,28.37
10/29/2021 16:00:00,27.92
11/1/2021 16:00,27.93
11/2/2021 16:00,27.62
11/3/2021 16:00,28.24
11/4/2021 16:00,28.49
11/5/2021 16:00,28.57
11/8/2021 16:00,28.13
11/9/2021 16:00,27.69
11/10/2021 16:00,27.9
11/11/2021 16:00,27.85
11/12/2021 16:00,28.04
11/15/2021 16:00:00,28.24
11/16/2021 16:00:00,28.2
11/17/2021 16:00:00,27.62
11/18/2021 16:00:00,27.26
11/19/2021 16:00:00,27.08
11/22/2021 16:00:00,26.55
11/23/2021 16:00:00,27.05
11/24/2021 16:00:00,27.29
11/25/2021 16:00:00,27.05
11/26/2021 16:00:00,26.86
11/29/2021 16:00:00,26.41
11/30/2021 16:00:00,26.49
12/1/2021 16:00,26.43
12/2/2021 16:00,26.48
12/3/2021 16:00,26.82
12/6/2021 16:00,26.83
12/7/2021 16:00,27.24
12/8/2021 16:00,27.44
12/9/2021 16:00,27.39
12/10/2021 16:00,27.25
12/13/2021 16:00:00,27.15
12/14/2021 16:00:00,27.26
12/15/2021 16:00:00,27.37
12/16/2021 16:00:00,27.21
12/17/2021 16:00:00,27.41
12/20/2021 16:00:00,27.03
12/21/2021 16:00:00,27.1
12/22/2021 16:00:00,27.01
12/23/2021 16:00:00,27.18
12/24/2021 14:10:00,27.24
12/29/2021 16:00:00,27.66
12/30/2021 16:00:00,27.6
12/31/2021 14:10:00,27.29
1/4/2022 16:00,27.78
1/5/2022 16:00,27.84
1/6/2022 16:00,27.46
1/7/2022 16:00,28.18
1/10/2022 16:00,28.15
1/11/2022 16:00,27.78
1/12/2022 16:00,27.81
1/13/2022 16:00:00,28.18
1/14/2022 16:00:00,28.17
1/17/2022 16:00:00,28.49
1/18/2022 16:00:00,28.52
1/19/2022 16:00:00,28.33
1/20/2022 16:00:00,28.35
1/21/2022 16:00:00,27.89
1/24/2022 16:00:00,27.55
1/25/2022 16:00:00,26.56
1/27/2022 16:00:00,26.86
1/28/2022 16:00:00,27.25
1/31/2022 16:00:00,26.32
2/1/2022 16:00,26.32
2/2/2022 16:00,26.68
2/3/2022 16:00,26.86
2/4/2022 16:00,26.88
2/7/2022 16:00,26.36
2/8/2022 16:00,26.75
2/9/2022 16:00,27.2
2/10/2022 16:00,27.49
2/11/2022 16:00,27.6
2/14/2022 16:00:00,27.98
2/15/2022 16:00:00,27.58
2/16/2022 16:00:00,27.88
2/17/2022 16:00:00,28
2/18/2022 16:00:00,27.93
2/21/2022 16:00:00,27.95
2/22/2022 16:00:00,27.67
2/23/2022 16:00:00,27.41
2/24/2022 16:00:00,26.47
2/25/2022 16:00:00,25.89
2/28/2022 16:00:00,25.8
3/1/2022 16:00,25.97
3/2/2022 16:00,25.41
3/3/2022 16:00,25.41
3/4/2022 16:00,25.1
3/7/2022 16:00,24.8
3/8/2022 16:00,24.62
3/9/2022 16:00,24.89
3/10/2022 16:00,25.57
3/11/2022 16:00,25.65
3/14/2022 16:00:00,26.37
3/15/2022 16:00:00,26.48
3/16/2022 16:00:00,26.95
3/17/2022 16:00:00,27.31
3/18/2022 16:00:00,27.36
3/21/2022 16:00:00,27.36
3/22/2022 16:00:00,27.45
3/23/2022 16:00:00,27.66
3/24/2022 16:00:00,27.5
3/25/2022 16:00:00,27.39
3/28/2022 16:00:00,27.57
3/29/2022 16:00:00,27.65
3/30/2022 16:00:00,27.66
3/31/2022 16:00:00,27.38
4/1/2022 16:00,26.96
4/4/2022 16:00,26.91
4/5/2022 16:00,26.83
4/6/2022 16:00,27.14
4/7/2022 16:00,27.12
4/8/2022 16:00,27.28
4/11/2022 16:00,27.48
4/12/2022 16:00,27.2
4/13/2022 16:00:00,27.27
4/14/2022 16:00:00,27.2
4/19/2022 16:00:00,27.53
4/20/2022 16:00:00,27.69
4/21/2022 16:00:00,27.78
4/22/2022 16:00:00,27.56
4/26/2022 16:00:00,27.4
4/27/2022 16:00:00,26.7
4/28/2022 16:00:00,26.88
4/29/2022 16:00:00,27.08
5/2/2022 16:00,27.08
5/3/2022 16:00,27.04
5/4/2022 16:00,27.16
5/5/2022 16:00,26.7
5/6/2022 16:00,26.55
5/9/2022 16:00,25.82
5/10/2022 16:00,25.59
5/11/2022 16:00,25.2
5/12/2022 16:00,24.96
5/13/2022 16:00:00,25.19
5/16/2022 16:00:00,25.38
5/17/2022 16:00:00,25.41
5/18/2022 16:00:00,25.64
5/19/2022 16:00:00,25.08
5/20/2022 16:00:00,25.3
5/23/2022 16:00:00,25.11
5/24/2022 16:00:00,25.17
5/25/2022 16:00:00,25.43
5/26/2022 16:00:00,25.33
5/27/2022 16:00:00,25.48
5/30/2022 16:00:00,25.57
5/31/2022 16:00:00,24.84
6/1/2022 16:00,25.11
6/2/2022 16:00,24.77
6/3/2022 16:00,24.82
6/6/2022 16:00,24.62
6/7/2022 16:00,24.26
6/8/2022 16:00,23.7
6/9/2022 16:00,23.17
6/10/2022 16:00,22.89
6/14/2022 16:00:00,21.83
6/15/2022 16:00:00,21.43
6/16/2022 16:00:00,21.34
6/17/2022 16:00:00,20.99
6/20/2022 16:00:00,21.22
6/21/2022 16:00:00,21.78
6/22/2022 16:00:00,21.66
6/23/2022 16:00:00,21.9
6/24/2022 16:00:00,21.74
6/27/2022 16:00:00,22.39
6/28/2022 16:00:00,22.24
6/29/2022 16:00:00,22.45
6/30/2022 16:00:00,21.86
7/1/2022 16:00,21.83
7/4/2022 16:00,22.1
7/5/2022 16:00,22.02
7/6/2022 16:00,22.22
7/7/2022 16:00,22.62
7/8/2022 16:00,22.52
7/11/2022 16:00,22.41
7/12/2022 16:00,22.52
7/13/2022 16:00:00,22.25
7/14/2022 16:00:00,21.76
7/15/2022 16:00:00,21.47
7/21/2022 16:00:00,21.93
7/22/2022 16:00:00,22.59
7/25/2022 16:00:00,22.62
7/26/2022 16:00:00,22.64
7/27/2022 16:00:00,22.73
7/28/2022 16:00:00,22.7
7/29/2022 16:00:00,22.9
8/1/2022 16:00,22.74
8/2/2022 16:00,22.81
8/3/2022 16:00,22.71
8/4/2022 16:00,22.78
8/5/2022 16:00,22.95
8/8/2022 16:00,22.91
8/9/2022 16:00,22.7
8/10/2022 16:00,23.46
8/11/2022 16:00,23.9
8/12/2022 16:00,24.02
8/15/2022 16:00:00,24.03
8/16/2022 16:00:00,23.83
8/17/2022 16:00:00,23.87
8/18/2022 16:00:00,23.58
8/19/2022 16:00:00,23.1
8/22/2022 16:00:00,22.84
8/23/2022 16:00:00,22.45
8/24/2022 16:00:00,22.81
8/25/2022 16:00:00,22.86
8/26/2022 16:00:00,22.96
8/29/2022 16:00:00,22.44
8/30/2022 16:00:00,22.57
8/31/2022 16:00:00,22.83
9/1/2022 16:00,22.64
9/2/2022 16:00,22.75
9/5/2022 16:00,22.63
9/6/2022 16:00,22.59
9/7/2022 16:00,22.28
9/8/2022 16:00,22.9
9/9/2022 16:00,23.02
9/12/2022 16:00,23.33
9/13/2022 16:00:00,23.48
9/14/2022 16:00:00,22.95
9/15/2022 16:00:00,23.74
9/16/2022 16:00:00,23.55
9/19/2022 16:00:00,23.56
9/20/2022 16:00:00,23.84
9/21/2022 16:00:00,23.6
9/23/2022 16:00:00,23.38
9/26/2022 16:00:00,23.04
9/27/2022 16:00:00,23.15
9/28/2022 16:00:00,23.05
9/29/2022 16:00:00,23.37
9/30/2022 16:00:00,22.8
10/3/2022 16:00,22.77
10/4/2022 16:00,23.9
10/5/2022 16:00,24.5
10/6/2022 16:00,24.39
10/7/2022 16:00,24.29
10/10/2022 16:00,23.9
10/11/2022 16:00,23.95
10/12/2022 16:00,24.75
10/13/2022 16:00:00,25.27
10/14/2022 16:00:00,25.36
10/17/2022 16:00:00,25.41
10/18/2022 16:00:00,25.65
10/19/2022 16:00:00,25.83
10/20/2022 16:00:00,25.83
10/21/2022 16:00:00,25.55
10/24/2022 16:00:00,25.59
10/25/2022 16:00:00,25.7
10/26/2022 16:00:00,25.84
10/27/2022 16:00:00,24.99
10/28/2022 16:00:00,25.21
10/31/2022 16:00:00,25.56
11/1/2022 16:00,25.96
11/2/2022 16:00,25.98
11/3/2022 16:00,25.68
11/4/2022 16:00,25.5
11/7/2022 16:00,24.33
11/8/2022 16:00,24.4
11/9/2022 16:00,24.55
11/10/2022 16:00,24.28
11/11/2022 16:00,24.64
11/14/2022 16:00:00,24.27
11/15/2022 16:00:00,24.23
11/16/2022 16:00:00,24.16
11/17/2022 16:00:00,24.31
11/18/2022 16:00:00,24.5
11/21/2022 16:00:00,24.76
11/22/2022 16:00:00,24.67
11/23/2022 16:00:00,24.73
11/24/2022 16:00:00,24.65
11/25/2022 16:00:00,24.82
11/28/2022 16:00:00,24.72
11/29/2022 16:00:00,24.91
11/30/2022 16:00:00,24.74
12/1/2022 16:00,24.95
12/2/2022 16:00,24.65
12/5/2022 16:00,24.57
12/6/2022 16:00,24.38
12/7/2022 16:00,24.03
12/8/2022 16:00,23.59
12/9/2022 16:00,23.64
12/12/2022 16:00,23.54
12/13/2022 16:00:00,24.1
12/14/2022 16:00:00,24.01
12/15/2022 16:00:00,23.9
12/16/2022 16:00:00,23.62
12/19/2022 16:00:00,23.72
12/20/2022 16:00:00,23.79
12/21/2022 16:00:00,24.11
12/22/2022 16:00:00,24.01
12/23/2022 16:00:00,24.07
12/28/2022 16:00:00,23.69
12/29/2022 16:00:00,23.6
12/30/2022 16:00:00,23.66
1/3/2023 16:00,23.01
1/4/2023 16:00,23.63
1/5/2023 16:00,23.62
1/6/2023 16:00,23.67
1/9/2023 16:00,23.72
1/10/2023 16:00,23.72
1/11/2023 16:00,24.01
1/12/2023 16:00,24.25
1/13/2023 16:00:00,24.49
1/16/2023 16:00:00,24.89
1/17/2023 16:00:00,24.91
1/18/2023 16:00:00,24.79
1/19/2023 16:00:00,24.88
1/20/2023 16:00:00,24.75
1/23/2023 16:00:00,24.92
1/24/2023 16:00:00,24.62
1/25/2023 16:00:00,24.6
1/27/2023 16:00:00,24.98
1/30/2023 16:00:00,25.03
1/31/2023 16:00:00,25.09
2/1/2023 16:00,25.28
2/2/2023 16:00,25.16
2/3/2023 16:00,25.75
2/6/2023 16:00,25.58
2/7/2023 16:00,25.66
2/8/2023 16:00,25.79
2/9/2023 16:00,25.92
2/10/2023 16:00,25.71
2/13/2023 16:00:00,25.7
2/14/2023 16:00:00,25.75
2/15/2023 16:00:00,24.78
2/16/2023 16:00:00,24.92
2/17/2023 16:00:00,24.67
2/20/2023 16:00:00,24.74
2/21/2023 16:00:00,24.62
2/22/2023 16:00:00,24.93
2/23/2023 16:00:00,24.76
2/24/2023 16:00:00,24.79
2/27/2023 16:00:00,24.83
2/28/2023 16:00:00,24.65
3/1/2023 16:00,24.37
3/2/2023 16:00,23.71
3/3/2023 16:00,23.85
3/6/2023 16:00,24.2
3/7/2023 16:00,24.5
3/8/2023 16:00,24.33
3/9/2023 16:00,24.49
3/10/2023 16:00,23.85
3/13/2023 16:00:00,23.39
3/14/2023 16:00:00,23.04
3/15/2023 16:00:00,23.29
3/16/2023 16:00:00,22.72
3/17/2023 16:00:00,22.81
3/20/2023 16:00:00,22.49
3/21/2023 16:00:00,22.75
3/22/2023 16:00:00,22.85
3/23/2023 16:00:00,22.76
3/24/2023 16:00:00,22.52
3/27/2023 16:00:00,22.44
3/28/2023 16:00:00,22.64
3/29/2023 16:00:00,22.66
3/30/2023 16:00:00,22.87
3/31/2023 16:00:00,22.93
4/3/2023 16:00,23.22
4/4/2023 16:00,23.27
4/5/2023 16:00,23.3
4/6/2023 16:00,23.19
4/11/2023 16:00,23.56
4/12/2023 16:00,23.61
4/13/2023 16:00:00,23.77
4/14/2023 16:00:00,23.98
4/17/2023 16:00:00,24.21
4/18/2023 16:00:00,24.2
4/19/2023 16:00:00,24.14
4/20/2023 16:00:00,24.46
