Date,VGAD
1/8/2021 16:00,81.83
1/11/2021 16:00,81.94
1/12/2021 16:00,81.58
1/13/2021 16:00:00,81.96
1/14/2021 16:00:00,82.15
1/15/2021 16:00:00,81.59
1/18/2021 16:00:00,80.96
1/19/2021 16:00:00,81.68
1/20/2021 16:00:00,81.71
1/21/2021 16:00:00,82.86
1/22/2021 16:00:00,82.56
1/25/2021 16:00:00,82.44
1/27/2021 16:00:00,82.5
1/28/2021 16:00:00,80.25
1/29/2021 16:00:00,80.06
2/1/2021 16:00,79.65
2/2/2021 16:00,81.11
2/3/2021 16:00,82.15
2/4/2021 16:00,81.98
2/5/2021 16:00,82.84
2/8/2021 16:00,83.54
2/9/2021 16:00,83.99
2/10/2021 16:00,83.87
2/11/2021 16:00,83.68
2/12/2021 16:00,83.68
2/15/2021 16:00:00,84.6
2/16/2021 16:00:00,85.09
2/17/2021 16:00:00,84.49
2/18/2021 16:00:00,84.17
2/19/2021 16:00:00,83.52
2/22/2021 16:00:00,83.62
2/23/2021 16:00:00,83.53
2/24/2021 16:00:00,82.98
2/25/2021 16:00:00,84.09
2/26/2021 16:00:00,81.81
3/1/2021 16:00,82.36
3/2/2021 16:00,83.09
3/3/2021 16:00,83.31
3/4/2021 16:00,81.68
3/5/2021 16:00,80.9
3/8/2021 16:00,82.1
3/9/2021 16:00,82.68
3/10/2021 16:00,83.04
3/11/2021 16:00,83.91
3/12/2021 16:00,84.62
3/15/2021 16:00:00,84.65
3/16/2021 16:00:00,85.14
3/17/2021 16:00:00,85.02
3/18/2021 16:00:00,85.36
3/19/2021 16:00:00,84.28
3/22/2021 16:00:00,84.36
3/23/2021 16:00:00,84.37
3/24/2021 16:00:00,83.77
3/25/2021 16:00:00,83.68
3/26/2021 16:00:00,84.34
3/29/2021 16:00:00,84.77
3/30/2021 16:00:00,85.13
3/31/2021 16:00:00,84.84
4/1/2021 16:00,85.22
4/6/2021 16:00,86.77
4/7/2021 16:00,87
4/8/2021 16:00,87.41
4/9/2021 16:00,87.58
4/12/2021 16:00,87.77
4/13/2021 16:00:00,87.78
4/14/2021 16:00:00,88.33
4/15/2021 16:00:00,87.96
4/16/2021 16:00:00,88.62
4/19/2021 16:00:00,88.91
4/20/2021 16:00:00,88.57
4/21/2021 16:00:00,87.61
4/22/2021 16:00:00,88.45
4/23/2021 16:00:00,88.19
4/26/2021 16:00:00,88.7
4/27/2021 16:00:00,89.06
4/28/2021 16:00:00,88.91
4/29/2021 16:00:00,89.15
4/30/2021 16:00:00,88.77
5/3/2021 16:00,88.76
5/4/2021 16:00,88.85
5/5/2021 16:00,88.36
5/6/2021 16:00,88.52
5/7/2021 16:00,89.15
5/10/2021 16:00,89.74
5/11/2021 16:00,88.49
5/12/2021 16:00,87.52
5/13/2021 16:00:00,86.3
5/14/2021 16:00:00,87.7
5/17/2021 16:00:00,88.4
5/18/2021 16:00:00,88.73
5/19/2021 16:00:00,87.52
5/20/2021 16:00:00,87.57
5/21/2021 16:00:00,88.56
5/24/2021 16:00:00,88.64
5/25/2021 16:00:00,89.59
5/26/2021 16:00:00,89.33
5/27/2021 16:00:00,89.2
5/28/2021 16:00:00,89.78
5/31/2021 16:00:00,89.68
6/1/2021 16:00,89.47
6/2/2021 16:00,89.66
6/3/2021 16:00,89.75
6/4/2021 16:00,89.42
6/7/2021 16:00,90.08
6/8/2021 16:00,90.23
6/9/2021 16:00,90.23
6/10/2021 16:00,90.3
6/11/2021 16:00,90.46
6/15/2021 16:00:00,91.18
6/16/2021 16:00:00,90.92
6/17/2021 16:00:00,90.22
6/18/2021 16:00:00,90.7
6/21/2021 16:00:00,88.85
6/22/2021 16:00:00,90.76
6/23/2021 16:00:00,91.11
6/24/2021 16:00:00,90.95
6/25/2021 16:00:00,91.51
6/28/2021 16:00:00,91.75
6/29/2021 16:00:00,91.62
6/30/2021 16:00:00,91.74
7/1/2021 16:00,85.25
7/2/2021 16:00,85.79
7/5/2021 16:00,85.91
7/6/2021 16:00,86.02
7/7/2021 16:00,85.8
7/8/2021 16:00,85.86
7/9/2021 16:00,85.21
7/12/2021 16:00,86.06
7/13/2021 16:00:00,86.56
7/14/2021 16:00:00,86.14
7/15/2021 16:00:00,86.19
7/16/2021 16:00:00,85.81
7/19/2021 16:00:00,84.98
7/20/2021 16:00:00,84.2
7/21/2021 16:00:00,85.1
7/22/2021 16:00:00,86.07
7/23/2021 16:00:00,86.33
7/26/2021 16:00:00,86.64
