Date,ANZ,Date,AVH,Date,VGAD
3/4/2015,35.24,3/4/2015,1.36,3/4/2015,53.38
3/5/2015,35.22,3/6/2015,1.36,3/5/2015,53.76
3/6/2015,35.11,3/12/2015,1.11,3/6/2015,53.56
3/9/2015,34.88,3/13/2015 ,1.18,3/9/2015,52.6
3/10/2015,35.02,3/16/2015 ,1.22,3/10/2015,53.08
3/11/2015,34.94,3/17/2015 ,1.22,3/11/2015,52.44
3/12/2015,35.36,3/18/2015 ,1.24,3/12/2015,52.69
3/13/2015 ,35.16,3/19/2015 ,1.15,3/13/2015 ,53.07
3/16/2015 ,35.27,3/20/2015 ,1.15,3/16/2015 ,52.99
3/17/2015 ,35.63,3/23/2015 ,1.15,3/17/2015 ,53.45
3/18/2015 ,35.64,3/24/2015 ,1.16,3/18/2015 ,55.35
3/19/2015 ,36.34,3/25/2015 ,1.15,3/19/2015 ,54.23
3/20/2015 ,36.5,3/27/2015 ,1.13,3/20/2015 ,53.93
3/23/2015 ,36.51,3/30/2015 ,1.11,3/23/2015 ,54.44
3/24/2015 ,36.6,3/31/2015 ,1.13,3/24/2015 ,54.25
3/25/2015 ,36.9,4/2/2015,1.11,3/25/2015 ,54.12
3/26/2015 ,36.11,4/7/2015,1.09,3/26/2015 ,53.47
3/27/2015 ,36.51,4/8/2015,1.09,3/27/2015 ,53.46
3/30/2015 ,36.07,4/9/2015,1.2,3/30/2015 ,53.44
3/31/2015 ,36.35,4/10/2015,1.22,3/31/2015 ,53.88
4/1/2015,36.16,4/13/2015 ,1.24,4/1/2015,53.12
4/2/2015,36.38,4/14/2015 ,1.32,4/2/2015,53.35
4/7/2015,36.61,4/15/2015 ,1.31,4/7/2015,53.56
4/8/2015,36.5,4/16/2015 ,1.31,4/8/2015,54.03
4/9/2015,36.33,4/17/2015 ,1.32,4/9/2015,54.11
4/10/2015,36.51,4/20/2015 ,1.38,4/10/2015,54.58
4/13/2015 ,36.45,4/21/2015 ,1.38,4/13/2015 ,54.74
4/14/2015 ,36.03,4/22/2015 ,1.38,4/14/2015 ,54.8
4/15/2015 ,35.66,4/24/2015 ,1.32,4/15/2015 ,54.71
4/16/2015 ,35.73,4/27/2015 ,1.36,4/16/2015 ,55.19
4/17/2015 ,35.32,4/28/2015 ,1.32,4/17/2015 ,54.77
4/20/2015 ,35.36,4/29/2015 ,1.34,4/20/2015 ,54.28
4/21/2015 ,35.48,4/30/2015 ,1.32,4/21/2015 ,54.63
4/22/2015 ,35.21,5/1/2015,1.38,4/22/2015 ,54.62
4/23/2015 ,34.98,5/6/2015,1.38,4/23/2015 ,54.84
4/24/2015 ,35.44,5/7/2015,1.29,4/24/2015 ,54.84
4/27/2015 ,35.3,5/8/2015,1.31,4/27/2015 ,55.16
4/28/2015 ,35.13,5/11/2015,1.32,4/28/2015 ,55.17
4/29/2015 ,34.48,5/13/2015 ,1.38,4/29/2015 ,55.06
4/30/2015 ,33.72,5/14/2015 ,1.38,4/30/2015 ,54.34
5/1/2015,33.88,5/15/2015 ,1.34,5/1/2015,53.82
5/4/2015,32.98,5/18/2015 ,1.34,5/4/2015,54.51
5/6/2015,32.95,5/19/2015 ,1.32,5/6/2015,54.11
5/7/2015,32.75,5/20/2015 ,1.34,5/7/2015,53.49
5/8/2015,32.09,5/21/2015 ,1.36,5/8/2015,54.21
5/11/2015,31.67,5/22/2015 ,1.32,5/11/2015,54.82
5/12/2015,32.15,5/25/2015 ,1.32,5/12/2015,54.4
5/13/2015 ,32.85,5/26/2015 ,1.32,5/13/2015 ,54.44
5/14/2015 ,32.76,5/27/2015 ,1.34,5/14/2015 ,54.2
5/15/2015 ,32.86,5/28/2015 ,1.38,5/15/2015 ,54.86
5/18/2015 ,32.02,5/29/2015 ,1.34,5/18/2015 ,54.74
5/19/2015 ,31.75,6/1/2015,1.41,5/19/2015 ,55.12
5/20/2015 ,31.64,6/2/2015,1.41,5/20/2015 ,55.38
5/21/2015 ,31.97,6/3/2015,1.5,5/21/2015 ,55.28
5/22/2015 ,31.8,6/4/2015,1.43,5/22/2015 ,55.49
5/25/2015 ,32.06,6/5/2015,1.46,5/25/2015 ,55.46
5/26/2015 ,32.43,6/9/2015,1.46,5/26/2015 ,55.39
5/27/2015 ,32.26,6/11/2015,1.43,5/27/2015 ,54.95
5/28/2015 ,32.46,6/12/2015,1.41,5/28/2015 ,55.48
5/29/2015 ,32.93,6/16/2015 ,1.38,5/29/2015 ,55.42
6/1/2015,32.46,6/18/2015 ,1.46,6/1/2015,55.01
6/2/2015,32.04,6/19/2015 ,1.29,6/2/2015,55.14
6/3/2015,31.67,6/22/2015 ,1.32,6/3/2015,54.99
6/4/2015,31.25,6/23/2015 ,1.32,6/4/2015,54.99
6/5/2015,30.92,6/24/2015 ,1.36,6/5/2015,54.74
6/9/2015,30.91,6/25/2015 ,1.34,6/9/2015,54.42
6/10/2015,30.84,6/26/2015 ,1.41,6/10/2015,54.14
6/11/2015,31.56,6/29/2015 ,1.32,6/11/2015,53.95
6/12/2015,31.46,6/30/2015 ,1.27,6/12/2015,54.7
6/15/2015 ,31.6,7/1/2015,1.41,6/15/2015 ,54.18
6/16/2015 ,31.92,7/2/2015,1.34,6/16/2015 ,53.51
6/17/2015 ,32.6,7/3/2015,1.36,6/17/2015 ,54.33
6/18/2015 ,32.11,7/6/2015,1.48,6/18/2015 ,54.26
6/19/2015 ,32.5,7/7/2015,1.48,6/19/2015 ,54.58
6/22/2015 ,32.66,7/8/2015,1.41,6/22/2015 ,54.33
6/23/2015 ,33.17,7/9/2015,1.5,6/23/2015 ,55.22
6/24/2015 ,33.37,7/10/2015,1.5,6/24/2015 ,55.17
6/25/2015 ,33.18,7/13/2015 ,1.48,6/25/2015 ,54.92
6/26/2015 ,32.84,7/14/2015 ,1.48,6/26/2015 ,54.73
6/29/2015 ,31.82,7/15/2015 ,1.55,6/29/2015 ,54.19
6/30/2015 ,31.95,7/16/2015 ,1.54,6/30/2015 ,53.85
7/1/2015,32.24,7/17/2015 ,1.5,7/1/2015,53.55
7/2/2015,32.65,7/20/2015 ,1.71,7/2/2015,54.01
7/3/2015,32.2,7/21/2015 ,1.68,7/3/2015,53.73
7/6/2015,31.96,7/22/2015 ,1.69,7/6/2015,52.83
7/7/2015,32.77,7/23/2015 ,1.66,7/7/2015,53.39
7/8/2015,32.01,7/24/2015 ,1.68,7/8/2015,52.89
7/9/2015,31.96,7/27/2015 ,1.59,7/9/2015,53.12
7/10/2015,31.99,7/28/2015 ,1.59,7/10/2015,53.25
7/13/2015 ,31.65,7/29/2015 ,1.61,7/13/2015 ,53.85
7/14/2015 ,31.95,7/30/2015 ,1.54,7/14/2015 ,54.41
7/15/2015 ,32.16,7/31/2015 ,1.54,7/15/2015 ,54.76
7/16/2015 ,32.38,8/3/2015,1.5,7/16/2015 ,54.75
7/17/2015 ,32.18,8/4/2015,1.5,7/17/2015 ,55.2
7/20/2015 ,32.59,8/5/2015,1.5,7/20/2015 ,55.25
7/21/2015 ,32.79,8/6/2015,1.41,7/21/2015 ,55.38
7/22/2015 ,32.28,8/7/2015,1.24,7/22/2015 ,54.9
7/23/2015 ,31.9,8/10/2015,1.2,7/23/2015 ,54.93
7/24/2015 ,31.8,8/11/2015,1.32,7/24/2015 ,54.33
7/27/2015 ,31.86,8/12/2015,1.41,7/27/2015 ,54.29
7/28/2015 ,31.97,8/13/2015 ,1.32,7/28/2015 ,53.97
7/29/2015 ,31.99,8/18/2015 ,1.32,7/29/2015 ,54.17
7/30/2015 ,32.21,8/19/2015 ,1.24,7/30/2015 ,54.45
7/31/2015 ,32.42,8/21/2015 ,1.22,7/31/2015 ,54.65
8/3/2015,32.42,8/24/2015 ,1.31,8/3/2015,54.6
8/4/2015,32.52,8/25/2015 ,1.27,8/4/2015,54.5
8/5/2015,32.32,8/31/2015 ,1.36,8/5/2015,54.45
8/7/2015,29.9,9/1/2015,1.38,8/6/2015,54.58
8/10/2015,30.36,9/2/2015,1.32,8/7/2015,54.7
8/11/2015,29.83,9/3/2015,1.24,8/10/2015,54.6
8/12/2015,29.27,9/4/2015,1.24,8/11/2015,54.79
8/13/2015 ,29.52,9/7/2015,1.06,8/12/2015,54.16
